post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 12:20:18,0.18641810918774968,False
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,134,19,sohkamyung,2026-04-14 12:20:19,0.14168530947054436,False
47704804,How NASA built Artemis II’s fault-tolerant computer,science,635,234,speckx,2026-04-14 12:20:23,0.3684459140292867,True
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 12:20:25,0.2385557704706641,False
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,6,0,ceejayoz,2026-04-14 12:20:28,0.0,False
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 12:20:30,0.5494505494505495,False
47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,176,76,smokel,2026-04-14 12:20:32,0.43157296990346394,True
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 12:20:35,0.5077090795826195,True
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 12:20:37,0.4737025426680599,True
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 12:20:44,0.04975124378109452,False
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,12,thunderbong,2026-04-14 12:20:46,0.41237113402061853,False
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,90,39,chrisecker,2026-04-14 12:20:49,0.4328523862375139,False
47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,5,8,jeeybee,2026-04-14 12:20:50,1.5686274509803924,False
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 12:20:54,0.37037037037037035,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 12:20:56,0.9540034071550256,True
47745230,Sam Altman's home targeted in second attack,worldnews,149,349,babelfish,2026-04-14 12:21:00,2.340710932260228,False
47731707,"Rockstar Games Hacked, Hackers Threaten a Massive Data Leak If Not Paid Ransom",sports,109,62,c420,2026-04-14 12:21:24,0.5682859761686526,False
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,worldnews,409,48,WerWolv,2026-04-14 12:21:26,0.11733072598386701,True
47741449,SpaceX holds $603M in Bitcoin despite $5B loss stemming from xAI,science,27,9,lexandstuff,2026-04-14 12:21:34,0.33210332103321033,False
47695666,Show HN: Druids – Build your own software factory,worldnews,64,15,etherio,2026-04-14 12:21:43,0.234009360374415,False
47706141,Research-Driven Agents: When an agent reads before it codes,science,212,54,hopechong,2026-04-14 12:21:47,0.2545968882602546,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 12:21:51,0.9359857179290997,True
47747625,Code Review Is the New Bottleneck for Engineering Teams,sports,14,1,gpi,2026-04-14 12:21:52,0.07092198581560284,False
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,119,36,pruz,2026-04-14 12:21:53,0.3022670025188917,False
47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,14,2,1vuio0pswjnm7,2026-04-14 12:21:55,0.14184397163120568,False
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,262,278,speckx,2026-04-14 12:21:56,1.0606638687523844,True
47752301,Booking.com warns customers of hack that exposed their data,worldnews,12,3,Brajeshwar,2026-04-14 12:22:00,0.24793388429752067,False
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,28,6,russellharper,2026-04-14 12:22:03,0.21352313167259784,False
47729994,Polymarket gamblers betting millions on war,worldnews,159,128,sandebert,2026-04-14 12:22:06,0.8045254556882464,True
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 12:22:14,0.39867109634551495,False
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,worldnews,122,72,fanf2,2026-04-14 12:22:15,0.5896805896805897,False
47737387,Show HN: Bullseye2D – A Dart library for cross-platform 2D games,sports,4,1,joemanaco,2026-04-14 12:22:16,0.24390243902439027,False
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 12:22:21,0.19801980198019803,False
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,49,joeax,2026-04-14 12:22:26,0.5625717566016074,False
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 12:22:36,0.264266564534661,True
47704443,Study found that young adults have grown less hopeful and more angry about AI,science,141,184,elsewhen,2026-04-14 12:22:44,1.3040396881644225,False
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 12:22:47,0.5124835742444153,False
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-14 12:22:49,0.04754358161648178,False
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-14 12:23:01,0.1639344262295082,False
47730916,QB64 Tutorial A beginner's introduction to game programming,sports,7,0,AlexeyBrin,2026-04-14 12:23:12,0.0,False
47729925,Show HN: I rebuilt a 2000s browser strategy game on Cloudflare's edge,sports,7,1,parzivalt,2026-04-14 12:23:22,0.14084507042253522,False
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,sports,61,32,testing22321,2026-04-14 12:23:24,0.5237315875613748,False
